dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1577836800,2020-01-01 00:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,277.17,,276.44,275.87,276.77,277.95,1032,,,95,1.58,63,,,,,,57,803,Clouds,broken clouds,04n
1577840400,2020-01-01 01:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,276.55,,275.83,274.97,276.06,277.32,1032,,,95,1.73,66,,,,,,54,803,Clouds,broken clouds,04n
1577844000,2020-01-01 02:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,275.64,,274.92,274.16,275.27,276.32,1031,,,95,1.55,66,,,,,,68,803,Clouds,broken clouds,04n
1577847600,2020-01-01 03:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,274.27,,273.85,272.41,274.04,274.77,1032,,,97,1.68,64,,,,,,66,803,Clouds,broken clouds,04n
1577851200,2020-01-01 04:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,274.3,,273.73,272.19,274.06,274.94,1032,,,96,1.87,64,,,,,,45,802,Clouds,scattered clouds,03n
1577854800,2020-01-01 05:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,274.55,,273.98,272.41,274.11,275.43,1032,,,96,1.93,67,,,,,,3,800,Clear,sky is clear,01n
1577858400,2020-01-01 06:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,274.54,,273.53,272.42,273.83,275.31,1032,,,93,1.91,72,,,,,,3,800,Clear,sky is clear,01n
1577862000,2020-01-01 07:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,274.54,,273.53,272.41,273.76,275.46,1032,,,93,1.92,77,,,,,,5,800,Clear,sky is clear,01n
1577865600,2020-01-01 08:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,274.42,,273.56,272.46,273.68,275.36,1032,,,94,1.77,78,,,,,,4,800,Clear,sky is clear,01n
1577869200,2020-01-01 09:00:00 +0000 UTC,0,Braga,41.545449,-8.426507,275.32,,274.16,273.04,274.67,276.62,1032,,,92,2.16,77,,,,,,9,800,Clear,sky is clear,01d
