Dia;temp media;humidade media;lat;long
2024-03-13;285,43;74;41,545449;-8,426507
2024-03-14;285,11;87;;
2024-03-15;286,94;88;;
2024-03-16;287,36;86;;
2024-03-17;288,62;82;;
2024-03-18;288,86;79;;
2024-03-19;287,48;81;;
2024-03-20;285,34;79;;
2024-03-21;289,11;72;;
2024-03-22;291,54;61;;
2024-03-23;290,26;68;;
2024-03-24;288,65;56;;
2024-03-25;282,09;76;;
2024-03-26;278,64;89;;
2024-03-27;281,48;90;;
2024-03-28;281,48;91;;
2024-03-29;281,06;90;;
2024-03-30;279,99;92;;
2024-03-31;280,48;88;;
2024-04-01;281,71;86;;
2024-04-02;283,76;91;;
2024-04-03;285,30;86;;
2024-04-04;286,04;79;;
2024-04-05;290,41;60;;
2024-04-06;286,84;85;;
2024-04-07;285,94;84;;
2024-04-08;282,64;84;;
2024-04-09;282,91;75;;
2024-04-10;287,17;68;;
;;;;
