index;State;CMS Certification Number (CCN)*;Provider Name;Address;City;Zip;Phone;Type of Ownership;Offers Nursing Care Services;Offers Physical Therapy Services;Offers Occupational Therapy Services;Offers Speech Pathology Services;Offers Medical Social Services;Offers Home Health Aide Services;Date Certified;Quality of Patient Care Star Rating;How often the home health team began their patients' care in a timely manner;How often the home health team taught patients (or their family caregivers) about their drugs;How often the home health team checked patients' risk of falling;How often the home health team checked patients for depression;How often the home health team determined whether patients received a flu shot for the currnet flu season;How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).;With diabetes, how often the home health team got doctor's orders, gave foot care, and taught patients about foot care;How often patients got better at walking or moving around;How often patients got better at getting in and out of bed;How often patients got better at bathing;How often patients had less pain when moving around;How often patients' breathing improved;How often patients' wounds improved or healed after an operation;How often patients got better at taking their drugs correctly by mouth;How often home health patients had to be admitted to the hospital;How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted;How often home health patients, who have had a recent hospital stay, had to be re-admitted to the hospital;How often home health patients, who have had a recent hospital stay, received care in the hospital emergency room without being re-admitted to the hospital;How often patients developed new or worsened pressure ulcers;How often patients remained in the community after discharge from home health;How often physician-recommended actions to address medication issues were completely timely;How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally;No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)
0;AL;17000;ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE;201 MONROE STREET, THE RSA TOWER,  SUITE 1200;MONTGOMERY;36104;3.342065341E9;Government - State/ County;True;True;True;True;True;True;01/07/1966 00:00;3.0;100.0;97.1;100.0;91.2;73.53735552473422;50.0;97.06469558694849;79.4;58.1;73.6;75.06903750455118;51.1;91.42082929194976;63.14625984251963;15.313701090442585;12.92682148781419;Not Available;Not Available;4.6;Better Than National Rate;91.4;0.9684697386519977;499.8584856936267
1;AL;17009;ALACARE HOME HEALTH & HOSPICE;2970 LORNA ROAD;BIRMINGHAM;35216;2.05824268E9;Proprietary;True;True;True;True;True;True;18/01/1973 00:00;4.0;93.5;99.5;100.0;99.8;75.8;83.4;99.6;82.8;77.4;83.5;87.1;82.8;92.9;76.1;18.3;11.9;Worse Than Expected;Worse Than Expected;0.6;Better Than National Rate;97.0;1.03;10536.0
2;AL;17013;KINDRED AT HOME;1239 RUCKER BLVD;ENTERPRISE;36330;3.343470234E9;Proprietary;True;True;True;True;True;True;24/07/1975 00:00;4.0;98.9;98.0;99.9;98.8;79.9;79.0;96.0;76.8;75.2;84.6;89.5;84.6;93.4;67.4;17.0;15.8;Same As Expected;Worse Than Expected;1.0;Better Than National Rate;62.8;1.1;1034.0
3;AL;17014;AMEDISYS HOME HEALTH;68278 MAIN STREET;BLOUNTSVILLE;35031;8.664864919E9;Proprietary;True;True;True;True;True;True;04/09/1975 00:00;4.5;97.9;100.0;100.0;96.1;93.7;91.4;94.7;79.8;77.7;80.2;89.1;90.8;100.0;66.7;12.4;16.3;Same As Expected;Same As Expected;0.0;Better Than National Rate;98.0;1.05;550.0
4;AL;17016;SOUTHEAST ALABAMA HOMECARE;804 GLOVER AVENUE;ENTERPRISE;36330;3.3434748E9;Proprietary;True;True;True;True;True;True;09/06/1976 00:00;5.0;99.6;100.0;99.9;99.9;72.4;77.3;100.0;86.3;84.5;88.3;93.5;92.9;95.6;82.7;14.8;15.3;Worse Than Expected;Same As Expected;0.6;Better Than National Rate;98.3;0.97;640.0
5;AL;17018;KINDRED AT HOME;3225 RAINBOW STREET, SUITE 256;RAINBOW CITY;35906;2.564421138E9;Proprietary;True;True;True;True;True;True;01/01/1977 00:00;4.5;97.2;99.3;99.9;94.6;84.9;86.9;96.1;85.0;81.2;91.2;89.1;86.1;89.1;72.1;18.8;10.7;Worse Than Expected;Same As Expected;0.6;Same As National Rate;87.9;1.14;2327.0
6;AL;17020;AMEDISYS HOME HEALTH CARE;273 AZALEA ROAD, SUITE 204, BLDG 2;MOBILE;36609;2.513800492E9;Proprietary;True;True;True;True;True;True;23/05/1977 00:00;5.0;97.9;100.0;99.9;95.4;91.4;88.5;98.5;94.3;82.5;87.4;93.5;97.8;98.9;81.2;17.5;11.6;Same As Expected;Worse Than Expected;0.4;Better Than National Rate;99.4;0.97;1128.0
7;AL;17024;SOUTHEAST ALABAMA HOMECARE;1435 ROSS CLARK CIRCLE, SUITE 2;DOTHAN;36301;3.347940591E9;Proprietary;True;True;True;True;True;True;01/06/1978 00:00;5.0;99.1;100.0;100.0;99.7;83.5;84.0;99.9;89.4;84.3;88.5;96.2;92.8;95.9;82.7;15.3;14.9;Same As Expected;Worse Than Expected;0.5;Better Than National Rate;99.2;1.05;1295.0
8;AL;17025;SAAD HEALTHCARE;1515 UNIVERSITY BLVD, SOUTH;MOBILE;36609;2.5134396E9;Proprietary;True;True;True;True;True;True;28/12/1978 00:00;3.0;95.7;98.9;99.8;95.9;52.5;52.9;99.4;74.3;69.8;73.7;73.9;74.6;96.5;68.8;17.2;9.6;Worse Than Expected;Same As Expected;0.3;Worse Than National Rate;96.6;1.0;1701.0
9;AL;17026;KINDRED AT HOME;2200 RIVERCHASE PARKWAY, BUILDING 700;BIRMINGHAM;35244;2.0573978E9;Proprietary;True;True;True;True;True;True;29/03/1979 00:00;3.0;87.1;98.6;100.0;95.9;84.1;87.2;96.6;74.6;72.7;76.4;79.3;75.1;80.7;65.2;19.4;13.3;Worse Than Expected;Worse Than Expected;0.4;Better Than National Rate;69.0;1.1;1161.0
